agency_287g,vsr_agency,county,support_type,signed,hisp_stops_2014,hisp_stops_2024,hisp_change_pct,in_vsr
Missouri Highway Patrol,Missouri State Highway Patrol,,Task Force Model,2025-03-21,8694.0,14569.0,67.6,Yes
Christian County Sheriff's Office,Christian County Sheriff's Dept,Christian County,Warrant Service Officer,2025-03-26,21.0,129.0,514.3,Yes
Pulaski County Sheriff's Office,Pulaski County Sheriff's Dept,Pulaski County,Warrant Service Officer,2025-07-29,33.0,,,Yes
Southwest City Police Department,Southwest City Police Dept,McDonald County ,Task Force Model,2025-09-09,52.0,193.0,271.2,Yes
Goodman Police Department,Goodman Police Dept,McDonald County,Warrant Service Officer,2025-09-22,17.0,59.0,247.1,Yes
Phelps County Sheriff's Department,Phelps County Sheriff's Dept,Phelps County,Task Force Model,2025-10-17,53.0,111.0,109.4,Yes
Washburn Police Department,Washburn Police Dept,Barry County,Task Force Model,2025-11-04,,,,Yes
Ozark County Sheriff's Office,Ozark County Sheriff's Dept,Ozark County,Warrant Service Officer,2025-11-04,,,,Yes
Sparta Police Department,Sparta Police Dept,Christian County ,Task Force Model,2025-11-04,8.0,22.0,175.0,Yes
Webster County Sheriff's Office,Webster County Sheriff's Office,Webster County ,Task Force Model,2025-11-06,,,,Yes
Ash Grove Police Department,Ash Grove Police Dept,Greene County ,Task Force Model,2025-11-19,4.0,8.0,100.0,Yes
Ava Police Department,Ava Police Dept,Douglas County ,Task Force Model,2025-11-19,4.0,9.0,125.0,Yes
Douglas County Sheriff's Office,Douglas County Sheriff's Dept,Douglas County ,Task Force Model,2025-11-19,1.0,9.0,800.0,Yes
Crane Police Department,Crane Police Dept,Stone County,Task Force Model,2025-11-20,8.0,21.0,162.5,Yes
Walnut Grove Police Department,Walnut Grove Police Dept,Greene County,Task Force Model,2025-12-02,,3.0,,Yes
Callaway County Sheriff's Office,Callaway County Sheriff's Dept,Callaway County,Jail Enforcement Model,2025-12-02,15.0,55.0,266.7,Yes
Mountain Grove Police Department,Mountain Grove Police Dept,Wright County ,Task Force Model,2025-12-08,12.0,31.0,158.3,Yes
Lawrence County Sheriff's Office,Lawrence County Sheriff's Office,Lawrence County ,Task Force Model,2025-12-08,,,,Yes
Ste. Genevieve Police Department,Ste Genevieve Police Dept,Ste. Genevieve County,Task Force Model,2025-12-10,3.0,13.0,333.3,Yes
Wright County Sheriff's Office,Wright County Sheriff's Dept,Wright County,Warrant Service Officer,2025-12-11,1.0,30.0,2900.0,Yes
Ste. Genevieve County Sheriff's Office,Ste Genevieve Co Sheriff's Dept,Ste. Genevieve County,Warrant Service Officer,2025-12-16,32.0,44.0,37.5,Yes
Houston Police Department,Houston Police Dept,Texas County,Task Force Model,2025-12-17,1.0,34.0,3300.0,Yes
Ripley County Sheriff's Office,Ripley County Sheriff's Dept,Ripley County,Task Force Model,2025-12-18,,1.0,,Yes
Merriam Woods Police Department,Merriam Woods Police Dept,Taney County ,Task Force Model,2026-01-07,2.0,,,Yes
Willow Springs Police Department,Willow Springs Police Dept,Howell County,Task Force Model,2026-01-07,1.0,,,Yes
Seymour Police Department,Seymour Police Dept,Webster County,Task Force Model,2026-01-07,3.0,24.0,700.0,Yes
Mansfield Police Department,Mansfield Police Dept,Wright County,Task Force Model,2026-01-07,,5.0,,Yes
Reeds Spring Police Department,Reeds Spring Police Dept,Stone County ,Task Force Model,2026-01-26,,,,Yes
Pineville Police Department,Pineville Police Dept,McDonald County,Task Force Model,2026-01-26,100.0,68.0,-32.0,Yes
New Madrid County Sheriff's Office,New Madrid County Sheriff's Dept,New Madrid County,Task Force Model,2026-01-26,,8.0,,Yes
Jefferson County Sheriff's Office,Jefferson County Sheriff's Dept,Jefferson County ,Task Force Model,2026-01-26,31.0,107.0,245.2,Yes
Washington County Sheriff's Office,Washington County Sheriff's Dept,Washington County,Task Force Model,2026-01-26,,2.0,,Yes
Grundy County Sheriff's Office,Grundy County Sheriff's Dept,Grundy County,Task Force Model,2026-01-26,1.0,,,Yes
Lincoln County Sheriff's Office,Lincoln County Sheriff's Dept,Lincoln County,Task Force Model,2026-02-10,24.0,,,Yes
Hawk Point Police Department,Hawk Point Police Dept,Lincoln County,Task Force Model,2026-02-14,3.0,4.0,33.3,Yes
Wheaton Police Department,Wheaton Police Dept,Barry County,Task Force Model,2026-02-14,7.0,,,Yes
Perryville Police Department,Perryville Police Dept,Perry County,Task Force Model,2026-02-17,7.0,25.0,257.1,Yes
Seligman Police Department,Seligman Police Dept,Barry County,Task Force Model,2026-02-18,33.0,54.0,63.6,Yes
Ellington Police Department,Ellington Police Dept,Reynolds County,Task Force Model,2026-02-18,,,,Yes
Woodson Terrace Police Department,Woodson Terrace Police Dept,St. Louis County,Task Force Model,2026-02-18,22.0,,,Yes
Branson Police Department,Branson Police Dept,Taney County,Task Force Model,2026-02-18,249.0,371.0,49.0,Yes
Dallas County Sheriff's Office,Dallas County Sheriff's Dept,Dallas County,Task Force Model,2026-02-18,5.0,,,Yes
Saint Ann Police Department,St Ann Police Dept,St. Louis County,Task Force Model,2026-02-23,60.0,275.0,358.3,Yes
Elsberry Police Department,Elsberry Police Dept,Lincoln County ,Task Force Model,2026-02-23,9.0,,,Yes
Stoddard County Sheriff's Office,Stoddard County Sheriff's Dept,Stoddard County,Task Force Model,2026-02-23,,50.0,,Yes
Reynolds County Sheriff's Office,Reynolds County Sheriff's Dept,Reynolds County,Task Force Model,2026-02-25,,,,Yes
Hillsdale Police Department,Hillsdale Police Dept,St. Louis County,Task Force Model,2026-02-25,8.0,11.0,37.5,Yes
Winfield Police Department,Winfield Police Dept,Lincoln County,Task Force Model,2026-03-01,12.0,10.0,-16.7,Yes
Country Club Hills Police Department,Country Club Hills Police Dept,St. Louis County,Task Force Model,2026-03-02,2.0,,,Yes
Dixon Police Department,Dixon Police Dept,Pulaski County,Task Force Model,2026-03-03,2.0,,,Yes
Breckenridge Hills Police Department,Breckenridge Hills Police Dept,St. Louis County,Task Force Model,2026-03-06,42.0,9.0,-78.6,Yes
Humansville Police Department,Humansville Police Dept,Polk County ,Task Force Model,2026-03-11,9.0,,,Yes
Scott County Sheriff's Office,Scott County Sheriff's Dept,Scott County,Task Force Model,2026-03-13,13.0,,,Yes
Wayne County Sheriff's Office,Wayne County Sheriff's Dept,Wayne County,Task Force Model,2026-03-17,2.0,34.0,1600.0,Yes
Madison County Sheriff's Office,Madison County Sheriff's Dept,Madison County,Task Force Model,2026-03-17,8.0,,,Yes
Carter County Sheriff's Office,Carter County Sheriff's Dept,Carter County,Task Force Model,2026-03-17,,2.0,,Yes
Bismarck Police Department,Bismarck Police Dept,Saint Francois County,Task Force Model,2026-03-19,4.0,15.0,275.0,Yes
Saint Francois County Sheriff's Office,St Francois County Sheriff's Dept,Saint Francois County,Task Force Model,2026-03-19,,33.0,,Yes
Dunklin County Sheriff's Office,Dunklin County Sheriff's Office,Dunklin County,Task Force Model,2026-03-23,,,,Yes
Potosi Police Department,Potosi Police Dept,Washington County,Task Force Model,2026-03-24,,15.0,,Yes
Stone County Sheriff's Office,Stone County Sheriff's Dept,Stone County,Task Force Model,2026-03-24,9.0,,,Yes
Doolittle Police Department,Doolittle Police Dept,Phelps County,Task Force Model,2026-03-25,15.0,25.0,66.7,Yes
El Dorado Springs Police Department,El Dorado Springs Police Dept,Cedar County,Task Force Model,2026-03-31,2.0,8.0,300.0,Yes
Bowling Green Police Department,Bowling Green Police Dept,Pike County,Task Force Model,2026-04-05,55.0,46.0,-16.4,Yes
Dekalb County Sheriff's Office,DeKalb County Sheriff's Dept,Dekalb County,Warrant Service Officer,2026-04-05,,54.0,,Yes
Cabool Police Department,Cabool Police Dept,Texas County,Task Force Model,2026-04-05,12.0,28.0,133.3,Yes
Mississippi County Sheriff's Office,Mississippi County Sheriff's Dept,Mississippi County,Warrant Service Officer,2026-04-07,,11.0,,Yes
Texas County Sheriff's Office,Texas County Sheriff's Dept,Texas County,Warrant Service Officer,2026-04-08,,6.0,,Yes
Saint Charles County Police Department,St Charles County Police Dept,St. Charles County,Task Force Model,2026-04-15,,386.0,,Yes
Daviess County Sheriff's Office,Daviess County Sheriff's Dept,Daviess County,Warrant Service Officer,2026-04-15,6.0,21.0,250.0,Yes
Hallsville Police Department,Hallsville Police Dept,Boone County,Task Force Model,2026-04-15,3.0,47.0,1466.7,Yes
Oak Grove Village Police Department,Oak Grove Police Dept,Franklin County,Task Force Model,2026-04-17,21.0,8.0,-61.9,Yes
Licking Police Department,Licking Police Dept,Texas County,Task Force Model,2026-04-21,5.0,13.0,160.0,Yes
North County Police Cooperative,North County Police Cooperative,North County,Task Force Model,2026-04-22,,185.0,,Yes
Gerald Police Department,Gerald Police Dept,Franklin County,Task Force Model,2026-04-22,4.0,5.0,25.0,Yes
Ellisville Police Department,Ellisville Police Dept,St. Louis County,Task Force Model,2026-04-22,7.0,128.0,1728.6,Yes
Pettis County Sheriff's Office,Pettis County Sheriff's Dept,Pettis County,Task Force Model,2026-04-25,43.0,126.0,193.0,Yes
Crawford County Sheriff's Office,Crawford County Sheriff's Dept,Crawford County,Task Force Model,2026-04-29,5.0,106.0,2020.0,Yes
