agency,county,agreement_type,signed
Missouri Highway Patrol,,Task Force Model,2025-03-21
Christian County Sheriff's Office,Christian County,Warrant Service Officer,2025-03-26
Christian County Sheriff's Office,Christian County,Task Force Model,2025-07-07
Pulaski County Sheriff's Office,Pulaski County,Task Force Model,2025-07-29
Pulaski County Sheriff's Office,Pulaski County,Warrant Service Officer,2025-07-29
Pettis County Sheriff's Office,Pettis County,Jail Enforcement Model ,2025-08-28
Southwest City Police Department ,McDonald County ,Task Force Model,2025-09-09
Goodman Police Department ,McDonald County,Warrant Service Officer,2025-09-22
Goodman Police Department ,McDonald County,Task Force Model,2025-09-22
Washburn Police Department,Barry County,Warrant Service Officer,2025-10-17
Phelps County Sheriff's Department ,Phelps County,Task Force Model,2025-10-17
Sparta Police Department ,Christian County ,Task Force Model,2025-11-04
Ozark County Sheriff's Office,Ozark County,Warrant Service Officer,2025-11-04
Ozark County Sheriff's Office,Ozark County,Task Force Model,2025-11-04
Washburn Police Department ,Barry County,Task Force Model,2025-11-04
Ozark County Sheriff's Office,Ozark County,Jail Enforcement Model ,2025-11-04
Webster County Sheriff's Office ,Webster County ,Task Force Model,2025-11-06
Douglas County Sheriff's Office ,Douglas County ,Task Force Model,2025-11-19
Ash Grove Police Department ,Greene County ,Task Force Model,2025-11-19
Ava Police Department ,Douglas County ,Task Force Model,2025-11-19
Crane Police Department ,Stone County,Task Force Model,2025-11-20
Callaway County Sheriff's Office ,Callaway County,Jail Enforcement Model ,2025-12-02
Walnut Grove Police Department ,Greene County,Task Force Model,2025-12-02
Mountain Grove Police Department ,Wright County ,Task Force Model,2025-12-08
Lawrence County Sheriff's Office ,Lawrence County ,Task Force Model,2025-12-08
Ste. Genevieve Police Department ,Ste. Genevieve County,Task Force Model,2025-12-10
Wright County Sheriff's Office ,Wright County,Task Force Model,2025-12-11
Wright County Sheriff's Office ,Wright County,Warrant Service Officer,2025-12-11
Wright County Sheriff's Office ,Wright County,Jail Enforcement Model,2025-12-11
Ste. Genevieve County Sheriff's Office,Ste. Genevieve County,Task Force Model,2025-12-16
Ste. Genevieve County Sheriff's Office,Ste. Genevieve County,Warrant Service Officer,2025-12-16
Houston Police Department ,Texas County,Task Force Model,2025-12-17
Ripley County Sheriff's Office,Ripley County,Task Force Model,2025-12-18
Seymour Police Department,Webster County,Task Force Model,2026-01-07
Merriam Woods Police Department,Taney County ,Task Force Model,2026-01-07
Mansfield Police Department,Wright County,Task Force Model,2026-01-07
Willow Springs Police Department,Howell County,Task Force Model,2026-01-07
Pineville Police Department,McDonald County,Task Force Model,2026-01-26
New Madrid County Sheriff's Office ,New Madrid County,Task Force Model,2026-01-26
Washington County Sheriff's Office ,Washington County,Task Force Model,2026-01-26
Reeds Spring Police Department,Stone County ,Task Force Model,2026-01-26
Jefferson County Sheriff's Office ,Jefferson County ,Task Force Model,2026-01-26
Grundy County Sheriff's Office,Grundy County,Task Force Model,2026-01-26
Lincoln County Sheriff's Office,Lincoln County,Task Force Model,2026-02-10
Hawk Point Police Department,Lincoln County,Task Force Model,2026-02-14
Wheaton Police Department,Barry County,Task Force Model,2026-02-14
Perryville Police Department,Perry County,Task Force Model,2026-02-17
Ellington Police Department ,Reynolds County,Task Force Model,2026-02-18
Woodson Terrace Police Department,St. Louis County,Task Force Model,2026-02-18
Branson Police Department,Taney County,Task Force Model,2026-02-18
Dallas County Sheriff's Office,Dallas County,Task Force Model,2026-02-18
Seligman Police Department,Barry County,Task Force Model,2026-02-18
Stoddard County Sheriff's Office,Stoddard County,Task Force Model,2026-02-23
Saint Ann Police Department ,St. Louis County,Task Force Model,2026-02-23
Elsberry Police Department,Lincoln County ,Task Force Model,2026-02-23
Hillsdale Police Department,St. Louis County,Task Force Model,2026-02-25
Reynolds County Sheriff's Office,Reynolds County,Task Force Model,2026-02-25
Winfield Police Department,Lincoln County,Task Force Model,2026-03-01
Country Club Hills Police Department,St. Louis County,Task Force Model,2026-03-02
Dixon Police Department,Pulaski County,Task Force Model,2026-03-03
Breckenridge Hills Police Department,St. Louis County,Task Force Model,2026-03-06
Humansville Police Department,Polk County ,Task Force Model,2026-03-11
Scott County Sheriff's Office,Scott County,Task Force Model,2026-03-13
Carter County Sheriff's Office,Carter County,Jail Enforcement Model,2026-03-17
Wayne County Sheriff's Office,Wayne County,Task Force Model,2026-03-17
Madison County Sheriff's Office,Madison County,Task Force Model,2026-03-17
Carter County Sheriff's Office,Carter County,Task Force Model,2026-03-17
Saint Francois County Sheriff's Office,Saint Francois County,Task Force Model,2026-03-19
Bismarck Police Department,Saint Francois County,Task Force Model,2026-03-19
Dunklin County Sheriff's Office,Dunklin County,Task Force Model,2026-03-23
Stone County Sheriff's Office,Stone County,Task Force Model,2026-03-24
Potosi Police Department,Washington County,Task Force Model,2026-03-24
Doolittle Police Department,Phelps County,Task Force Model,2026-03-25
El Dorado Springs Police Department,Cedar County,Task Force Model,2026-03-31
Cabool Police Department,Texas County,Task Force Model,2026-04-05
Bowling Green Police Department,Pike County,Task Force Model,2026-04-05
Dekalb County Sheriff's Office,Dekalb County,Jail Enforcement Model,2026-04-05
Dekalb County Sheriff's Office,Dekalb County,Task Force Model,2026-04-05
Dekalb County Sheriff's Office,Dekalb County,Warrant Service Officer,2026-04-05
Mississippi County Sheriff's Office,Mississippi County,Jail Enforcement Model,2026-04-07
Mississippi County Sheriff's Office,Mississippi County,Task Force Model,2026-04-07
Mississippi County Sheriff's Office,Mississippi County,Warrant Service Officer,2026-04-07
Texas County Sheriff's Office,Texas County,Task Force Model,2026-04-08
Texas County Sheriff's Office,Texas County,Warrant Service Officer,2026-04-08
Texas County Sheriff's Office,Texas County,Jail Enforcement Model,2026-04-08
Saint Charles County Police Department,St. Charles County,Task Force Model,2026-04-15
Daviess County Sheriff's Office ,Daviess County,Warrant Service Officer,2026-04-15
Daviess County Sheriff's Office ,Daviess County,Task Force Model,2026-04-15
Daviess County Sheriff's Office ,Daviess County,Jail Enforcement Model,2026-04-15
Hallsville Police Department,Boone County,Task Force Model,2026-04-15
Oak Grove Village Police Department,Franklin County,Task Force Model,2026-04-17
Licking Police Department,Texas County,Task Force Model,2026-04-21
North County Police Cooperative,North County,Task Force Model,2026-04-22
Ellisville Police Department,St. Louis County,Task Force Model,2026-04-22
Gerald Police Department,Franklin County,Task Force Model,2026-04-22
Pettis County Sheriff's Office,Pettis County,Task Force Model,2026-04-25
Crawford County Sheriff's Office,Crawford County,Task Force Model,2026-04-29
